Domain,Phylum,Class,Order,Family,Genus,Species,Species Formatted
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus eutactus ATCC 27759,Coprococcus_eutactus_ATCC_27759
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 18,Clostridium sporogenes ATCC 15579,Clostridium_sporogenes_ATCC_15579
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus comes ATCC 27758,Coprococcus_comes_ATCC_27758
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Anaerococcus,Anaerococcus hydrogenalis DSM 7454,Anaerococcus_hydrogenalis_DSM_7454
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis L1-82,Roseburia_intestinalis_L1-82
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans ATCC 49185,Fusobacterium_ulcerans_ATCC_49185
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,Clostridium sp. 7_2_43FAA,Clostridium_sp._7_2_43FAA
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum subsp. animalis D11,Fusobacterium_nucleatum_subsp._animalis_D11
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum subsp. animalis 3_1_33,Fusobacterium_nucleatum_subsp._animalis_3_1_33
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes sp. 3_2_56FAA,Anaerostipes_sp._3_2_56FAA
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum subsp. animalis 7_1,Fusobacterium_nucleatum_subsp._animalis_7_1
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus DSM 3319,Anaerostipes_hadrus_DSM_3319
Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,Butyricicoccus pullicaecorum 1.2,Butyricicoccus_pullicaecorum_1.2
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus sp. HPA0509,Acidaminococcus_sp._HPA0509
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum ATCC 9817,Fusobacterium_mortiferum_ATCC_9817
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium ATCC 27725,Fusobacterium_varium_ATCC_27725
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium gonidiaformans 3-1-5R,Fusobacterium_gonidiaformans_3-1-5R
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Lachnospiraceae bacterium 5_1_63FAA,Lachnospiraceae_bacterium_5_1_63FAA
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus catus,Coprococcus_catus_GD-7
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii M21/2,Faecalibacterium_prausnitzii_M21-2
Bacteria,Firmicutes,Clostridia,Eubacteriales,Anaerofustaceae,Anaerofustis,Anaerofustis stercorihominis DSM 17244,Anaerofustis_stercorihominis_DSM_17244
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum subsp. vincentii 4_1_13,Fusobacterium_nucleatum_subsp._vincentii_4_1_13
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii A2-165,Faecalibacterium_prausnitzii_A2-165
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum subsp. animalis 21_1A,Fusobacterium_nucleatum_subsp._animalis_21_1A
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum 1_1_41FAA,Fusobacterium_periodonticum_1_1_41FAA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,Clostridium perfringens WAL-14572,Clostridium_perfringens_WAL-14572
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium cf. prausnitzii KLE1255,Faecalibacterium_cf._prausnitzii_KLE1255
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii ATCC 29863,Flavonifractor_plautii_ATCC_29863
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina,Paenisporosarcina sp. HGH0030,Paenisporosarcina_sp._HGH0030
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium gonidiaformans ATCC 25563,Fusobacterium_gonidiaformans_ATCC_25563
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,[Clostridium] innocuum group,Clostridium sp. HGF2,Clostridium_sp._HGF2
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Clostridium sp. L2-50,Clostridium_sp._L2-50
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor,Pseudoflavonifractor capillosus ATCC 29799,Pseudoflavonifractor_capillosus_ATCC_29799
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes caccae DSM 14662,Anaerostipes_caccae_DSM_14662
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Clostridium sp. SS2/1,Clostridium_sp._SS2-1
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus,Anaerotruncus colihominis DSM 17241,Anaerotruncus_colihominis_DSM_17241
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus DSM 2876,Butyrivibrio_crossotus_DSM_2876
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,[Clostridium] innocuum group,Erysipelotrichaceae bacterium 21_3,Erysipelotrichaceae_bacterium_21_3
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,Lachnospiraceae bacterium 3_1_57FAA_CT1,Lachnospiraceae_bacterium_3_1_57FAA_CT1
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,Ruminococcaceae bacterium D16,Ruminococcaceae_bacterium_D16
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum subsp. animalis ATCC 51191,Fusobacterium_nucleatum_subsp._animalis_ATCC_51191
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,Clostridium celatum DSM 1785,Clostridium_celatum_DSM_1785
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis XB6B4,Roseburia_intestinalis_XB6B4
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum subsp. animalis 11_3_2,Fusobacterium_nucleatum_subsp._animalis_11_3_2
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum 2_1_31,Fusobacterium_periodonticum_2_1_31
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium necrophorum D12,Fusobacterium_necrophorum_D12
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter laneus YIT 12061,Odoribacter_laneus_YIT_12061
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Intestinibacter,Intestinibacter bartlettii DSM 16795,Intestinibacter_bartlettii_DSM_16795
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis DSM 17216,Alistipes_putredinis_DSM_17216
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,Subdoligranulum variabile DSM 15176,Subdoligranulum_variabile_DSM_15176
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica DSM 10507,Blautia_hydrogenotrophica_DSM_10507
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus sp. D21,Acidaminococcus_sp._D21
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Lachnospiraceae bacterium 7_1_58FAA,Lachnospiraceae_bacterium_7_1_58FAA
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,Clostridium sp. 7_3_54FAA,Clostridium_sp._7_3_54FAA
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium necrophorum subsp. funduliforme 1_1_36S,Fusobacterium_necrophorum_subsp._funduliforme_1_1_36S
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans 12-1B,Fusobacterium_ulcerans_12-1B
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus sp. ART55/1,Coprococcus_sp._ART55-1
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,Clostridium sp. M62/1,Clostridium_sp._M62-1
Bacteria,Firmicutes,Clostridia,Eubacteriales,unclassified eubacteriales,NA,Clostridiales butyrate-producing bacterium SM4-1,Clostridiales_butyrate-producing_bacterium_SM4-1
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,peptacetobacter,[Clostridium] hiranonis DSM 13275,Clostridium]_hiranonis_DSM_13275
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridiales,Peptoclostridium difficile 70-100-2010,Peptoclostridium_difficile_70-100-2010
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridiales,Peptoclostridium difficile NAP08,Peptoclostridium_difficile_NAP08
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridiales,Peptoclostridium difficile NAP07,Peptoclostridium_difficile_NAP07
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens 16/4,Butyrivibrio_fibrisolvens_16-4
Bacteria,Firmicutes,Clostridia,Eubacteriales,unclassified eubacteriales,NA,Clostridiales butyrate-producing bacterium SSC-2,Clostridiales_butyrate-producing_bacterium_SSC-2
Bacteria,Firmicutes,Clostridia,Eubacteriales,unclassified eubacteriales,NA,Clostridiales butyrate-producing bacterium SS3/4,Clostridiales_butyrate-producing_bacterium_SS3-4
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,[Clostridium] cf. saccharolyticum K10,Clostridium]_cf._saccharolyticum_K10
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii L2-6,Faecalibacterium_prausnitzii_L2-6
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii SL3/3,Faecalibacterium_prausnitzii_SL3-3
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia intestinalis M50/1,Roseburia_intestinalis_M50-1
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia inulinivorans DSM 16841,Roseburia_inulinivorans_DSM_16841
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbiosum WAL-14673,Clostridium]_symbiosum_WAL-14673
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbiosum WAL-14163,Clostridium]_symbiosum_WAL-14163
